"provision_id","norm_id","norm_title","norm_type","hierarchy_level","jurisdiction","article","provision_text","topic","actor_mentioned","power_granted","duty_created","procedure_created","coordination_mechanism","enforcement_or_sanction","rights_safeguard","budget_or_resource_implication","relevance_to_ihr","relevance_to_pandemic_agreement","source_url","version_date"
"MEX_PROV_CPEUM_ART124_001","MEX-004","Constitución Política de los Estados Unidos Mexicanos","constitution","1_constitution","federal","Art. 124","Las facultades que no están expresamente concedidas por esta Constitución a los funcionarios federales, se entienden reservadas a los Estados o a la Ciudad de México, en los ámbitos de sus respectivas competencias.","federalism; legal hierarchy; congressional powers","entidades federativas","Reserved powers to states for all matters not expressly granted to federal authorities","None identified","None identified","None identified","None identified","None identified","None identified","Direct — federalism principle limits scope of federal action; IHR implementation at state level requires coordination mechanisms; Art. 124 is key to understanding federal implementation gaps","Direct — residual state powers relevant to pandemic response implementation at subnational level; federal gap for obligations requiring state-level action","https://www.diputados.gob.mx/LeyesBiblio/pdf/CPEUM.pdf","2026-04-23"
"MEX_PROV_CPEUM_ART133_001","MEX-004","Constitución Política de los Estados Unidos Mexicanos","constitution","1_constitution","federal","Art. 133","Esta Constitución, las leyes del Congreso de la Unión que emanen de ella y todos los tratados que estén de acuerdo con la misma, celebrados y que se celebren por el Presidente de la República, con aprobación del Senado, serán la Ley Suprema de toda la Unión. Los jueces de cada entidad federativa se arreglarán a dicha Constitución, leyes y tratados, a pesar de las disposiciones en contrario que pueda haber en las Constituciones o leyes de las entidades federativas.","legal hierarchy; treaties; federalism","Ejecutivo Federal; Senado","None identified","Duty of all state judges to apply Constitution, federal laws and treaties above contrary state provisions","None identified","None identified","None identified","None identified","None identified","Direct — establishes IHR as Ley Suprema de la Unión once approved by Senate; governs hierarchy of IHR relative to federal and state laws; SCJN jurisprudence on hierarchy is complex (requires manual review)","Direct — pandemic agreement will constitute Ley Suprema upon Senate approval; overrides conflicting state laws","https://www.diputados.gob.mx/LeyesBiblio/pdf/CPEUM.pdf","2026-04-23"
"MEX_PROV_LSCT_ART001_001","MEX-003","Ley sobre la Celebración de Tratados","federal law","4_federal_or_national_law","federal","Art. 1o.","La presente Ley tiene por objeto regular la celebración de tratados y acuerdos interinstitucionales en el ámbito internacional. Los tratados sólo podrán ser celebrados entre el Gobierno de los Estados Unidos Mexicanos y uno o varios sujetos de derecho internacional público. Los acuerdos interinstitucionales sólo podrán ser celebrados entre una dependencia u organismos descentralizados de la Administración Pública Federal, Estatal o Municipal, la Fiscalía General de la República y uno o varios órganos gubernamentales extranjeros u organizaciones internacionales.","treaties; cooperation international","Ejecutivo Federal; SRE","None identified","None identified","Delineates which actors may conclude treaties vs. interinstitutional agreements; treaties only by federal government with international legal subjects","None identified","None identified","None identified","None identified","Direct — defines scope of treaty vs. interinstitutional agreement; relevant for SS technical agreements with WHO and other health bodies","Direct — pandemic agreement is a treaty under this law; interinstitutional agreements for technical implementation may be pursued by SS/SRE","https://www.diputados.gob.mx/LeyesBiblio/pdf/LSCT.pdf","2025-11-14"
"MEX_PROV_LSCT_ART002_001","MEX-003","Ley sobre la Celebración de Tratados","federal law","4_federal_or_national_law","federal","Art. 2o., fracciones I y II","Para los efectos de la presente Ley se entenderá por: I.- 'Tratado': el convenio regido por el derecho internacional público, celebrado por escrito entre el Gobierno de los Estados Unidos Mexicanos y uno o varios sujetos de Derecho Internacional Público, ya sea que para su aplicación requiera o no la celebración de acuerdos en materias específicas, cualquiera que sea su denominación, mediante el cual los Estados Unidos Mexicanos asumen compromisos. De conformidad con la fracción I del artículo 76 de la Constitución Política de los Estados Unidos Mexicanos, los tratados deberán ser aprobados por el Senado y serán Ley Suprema de toda la Unión cuando estén de acuerdo con la misma, en los términos del artículo 133 de la propia Constitución. II.- 'Acuerdo Interinstitucional': el convenio regido por el derecho internacional público, celebrado por escrito entre cualquier dependencia u organismo descentralizado de la Administración Pública Federal, Estatal o Municipal, la Fiscalía General de la República y uno o varios órganos gubernamentales extranjeros u organizaciones internacionales, cualquiera que sea su denominación. El ámbito material de los acuerdos interinstitucionales deberá circunscribirse exclusivamente a las atribuciones propias de las dependencias y organismos descentralizados.","treaties; legal hierarchy; cooperation international","Ejecutivo Federal; Senado; SRE","None identified","Interinstitutional agreements must stay within issuing entity's own attributions","Treaties require Senate approval and DOF publication to be binding; interinstitutional agreements bounded by institutional competence","None identified","None identified","None identified","None identified","Direct — IHR qualifies as treaty; interinstitutional agreements by SS/SRE for technical WHO cooperation are bounded by this definition","Direct — pandemic agreement is treaty requiring Senate approval and DOF publication; WHO technical arrangements may qualify as interinstitutional agreements","https://www.diputados.gob.mx/LeyesBiblio/pdf/LSCT.pdf","2025-11-14"
"MEX_PROV_LSCT_ART004_001","MEX-003","Ley sobre la Celebración de Tratados","federal law","4_federal_or_national_law","federal","Art. 4o.","Los tratados que se sometan al Senado para los efectos de la fracción I del artículo 76 de la Constitución, se turnarán a comisión en los términos de la Ley Orgánica del Congreso General de los Estados Unidos Mexicanos, para la formulación del dictamen que corresponda. En su oportunidad, la resolución del Senado se comunicará al Presidente de la República. Los tratados, para ser obligatorios en el territorio nacional deberán haber sido publicados previamente en el Diario Oficial de la Federación.","treaties; parliamentary oversight; legal hierarchy","Senado; Ejecutivo Federal","None identified","Duty to publish approved treaties in DOF before they become binding; Senate committee review required","Senate referral to committee → dictamen → resolution → communication to President → DOF publication","None identified","None identified","None identified","None identified","Direct — procedural requirement for IHR amendments to become domestically binding; DOF publication is condition of enforceability","Direct — pandemic agreement requires this procedure for domestic force; DOF publication mandatory","https://www.diputados.gob.mx/LeyesBiblio/pdf/LSCT.pdf","2025-11-14"
"MEX_PROV_LSCT_ART006_001","MEX-003","Ley sobre la Celebración de Tratados","federal law","4_federal_or_national_law","federal","Art. 6o.","La Secretaría de Relaciones Exteriores, sin afectar el ejercicio de las atribuciones de las dependencias y entidades de la Administración Pública Federal, coordinará las acciones necesarias para la celebración de cualquier tratado y formulará una opinión acerca de la procedencia de suscribirlo y, cuando haya sido suscrito, lo inscribirá en el Registro correspondiente.","treaties; cooperation international","SRE","SRE power to coordinate treaty conclusion and formulate opinion on procedencia","SRE duty to coordinate treaty actions and register signed treaties","SRE coordination of treaty negotiation; SRE opinion on subscription; inscription in SRE Registry","SRE as coordinator of all federal entities in treaty-making without displacing their own attributions","None identified","None identified","None identified","Direct — SRE coordinates IHR and WHO instrument negotiations; health sector (SS) participates within SRE coordination","Direct — SRE leads pandemic agreement negotiations with SS participation; SRE registration required","https://www.diputados.gob.mx/LeyesBiblio/pdf/LSCT.pdf","2025-11-14"
"MEX_PROV_LSCT_ART007_001","MEX-003","Ley sobre la Celebración de Tratados","federal law","4_federal_or_national_law","federal","Art. 7o.","Las dependencias y organismos descentralizados de la Administración Pública Federal, Estatal o Municipal y la Fiscalía General de la República, deberán mantener informada a la Secretaría de Relaciones Exteriores acerca de cualquier acuerdo interinstitucional que pretendan celebrar con otros órganos gubernamentales extranjeros u organizaciones internacionales. La Secretaría deberá formular el dictamen correspondiente acerca de la procedencia de suscribirlo y, en su caso, lo inscribirá en el Registro respectivo.","treaties; cooperation international","SRE; Secretaría de Salud","SRE power to issue dictamen on procedencia of interinstitutional agreements","Duty of all federal dependencies (including SS) to notify SRE of planned interinstitutional agreements; SRE must issue dictamen","Notification to SRE → SRE dictamen → SRE inscription in registry","SRE control mechanism over interinstitutional agreements concluded by SS and other health agencies with international organizations (including WHO)","None identified","None identified","None identified","Direct — SS technical agreements with WHO (e.g., for IHR focal point, GOARN participation) subject to SRE notification and dictamen","Direct — any SS agreement with WHO for pandemic agreement implementation requires SRE notification and dictamen","https://www.diputados.gob.mx/LeyesBiblio/pdf/LSCT.pdf","2025-11-14"
"MEX_PROV_LGS_ART001_001","MEX-002","Ley General de Salud","general law","3_general_law","national","Art. 1o.","La presente ley reglamenta el derecho a la protección de la salud que tiene toda persona en los términos del artículo 4o. de la Constitución Política de los Estados Unidos Mexicanos, establece las bases y modalidades para el acceso a los servicios de salud, distribuye competencias y establece los casos de concurrencia entre la Federación y las entidades federativas en materia de salubridad general. Es de aplicación en toda la República y sus disposiciones son de orden público e interés social.","right to health; federalism; coordination; sanitary authority","Secretaría de Salud; entidades federativas","None identified","None identified","None identified","Establishes federal-state concurrence framework for salubridad general","None identified","Right to health protection (reglamentary of Art. 4o. CPEUM)","None identified","Direct — primary statutory instrument for IHR implementation; establishes competences and concurrence framework","Direct — principal domestic health law; foundation for all pandemic response governance","https://www.diputados.gob.mx/LeyesBiblio/pdf/LGS.pdf","2026-01-15"
"MEX_PROV_LGS_ART003_001","MEX-002","Ley General de Salud","general law","3_general_law","national","Art. 3o., fracciones XV, XXVII","En los términos de esta Ley, es materia de salubridad general: [...] XV. La prevención y el control de enfermedades transmisibles; [...] XXVII. La sanidad internacional; [...] XXIX. Las demás materias que establezca esta Ley y otros ordenamientos legales, de conformidad con el párrafo tercero del artículo 4o. Constitucional. [Extraction note: article lists 29+ fracciones; only health-relevant fracciones excerpted; manual review required for full list]","epidemiological surveillance; notification/reporting; sanitary authority; points of entry; health products; laboratories","Secretaría de Salud; Consejo de Salubridad General","None identified","None identified","None identified","None identified","None identified","None identified","None identified","Direct — Art. 3 frac. XV (communicable disease prevention/control) and XXVII (sanidad internacional) are the two statutory subject-matter anchors for IHR obligations in Mexican law","Direct — fracs XV and XXVII cover core pandemic agreement subject matter","https://www.diputados.gob.mx/LeyesBiblio/pdf/LGS.pdf","2026-01-15"
"MEX_PROV_LGS_ART004_001","MEX-002","Ley General de Salud","general law","3_general_law","national","Art. 4o.","Son autoridades sanitarias: I. El Presidente de la República; II. El Consejo de Salubridad General; III. La Secretaría de Salud, y IV. Los gobiernos de las entidades federativas, incluyendo el Gobierno de la Ciudad de México.","sanitary authority; health authority; federalism","Ejecutivo Federal; Consejo de Salubridad General; Secretaría de Salud; entidades federativas","None identified (definitional)","None identified","None identified","Multi-level sanitary authority (federal + state)","None identified","None identified","None identified","Direct — identifies domestic competent authorities; relevant for IHR Art. 4 (designated authorities) and IHR National Focal Point designation","Direct — identifies responsible authorities for pandemic preparedness and response","https://www.diputados.gob.mx/LeyesBiblio/pdf/LGS.pdf","2026-01-15"
"MEX_PROV_LGS_ART007_001","MEX-002","Ley General de Salud","general law","3_general_law","national","Art. 7o., fracciones I, V, VIII, IX, XIV","La coordinación del Sistema Nacional de Salud estará a cargo de la Secretaría de Salud, correspondiéndole a ésta: I. Establecer y conducir la política nacional en materia de salud [...]; V. Determinar la periodicidad y características de la información que deberán proporcionar las dependencias y entidades del sector salud [...]; VIII. Impulsar las actividades científicas y tecnológicas en el campo de la salud; IX. Coadyuvar con las dependencias competentes a la regulación y control de la transferencia de tecnología en el área de salud; [...] XIV. Impulsar la permanente actualización de las disposiciones legales en materia de salud. [Extraction note: article has 17 fracciones; relevant fracciones excerpted; manual review required]","health authority; coordination; epidemiological surveillance; technology; planning","Secretaría de Salud","SS power to: establish and lead national health policy; determine information requirements from health sector entities; impulse science and technology; coordinate technology transfer; coordinate NHS","SS duty to coordinate National Health System; impulse science/technology; update health legislation","None identified","SS as NHS coordinator for all federal and state health entities","None identified","None identified","None identified","Direct — SS NHS coordination role is functional basis for IHR implementation coordination; information requirements power supports surveillance reporting","Direct — SS coordination mandate covers R&D, technology transfer and health information — core pandemic agreement pillars","https://www.diputados.gob.mx/LeyesBiblio/pdf/LGS.pdf","2026-01-15"
"MEX_PROV_LGS_ART009BIS_001","MEX-002","Ley General de Salud","general law","3_general_law","national","Art. 9o. Bis","El Sistema Federal Sanitario se constituye por la Comisión Federal para la Protección contra Riesgos Sanitarios y las autoridades de protección sanitaria de las entidades federativas con las que se haya suscrito un acuerdo de coordinación para el ejercicio de atribuciones en materia de regulación, control, vigilancia y fomento sanitarios, así como por los laboratorios de las entidades federativas en su componente de regulación sanitaria. (Artículo adicionado DOF 15-01-2026)","sanitary authority; coordination; laboratories; health security measures","COFEPRIS; entidades federativas","None identified","None identified","Federal-state coordination agreements required for state participation in Sistema Federal Sanitario","Sistema Federal Sanitario: COFEPRIS + state sanitary authorities + state labs under coordination agreements","None identified","None identified","None identified","Direct — Sistema Federal Sanitario is the institutional network relevant to IHR sanitary control at ports and points of entry; state laboratories are part of this network","Direct — federal-state sanitary coordination network relevant to One Health and health systems strengthening","https://www.diputados.gob.mx/LeyesBiblio/pdf/LGS.pdf","2026-01-15"
